Project name,ID,Country,Partners,Project type,Announcement,FID,Opertion,Suspension/decommissioning,Project Status,Project phase,Announced capacity (Mt CO2/yr),Estimated capacity by IEA (Mt CO2/yr),Sector,Fate of carbon,Part of CCUS hub,Region
Porthos offshore transport and storage,325,Netherlands,"Energie Beheer Nederland (EBN), Gasunie, and the Port of Rotterdam",T&S,2018,2023,2026,,Under construction,1,2.5,2.5,T&S,Dedicated storage,Porthos,Europe
Porthos onshore transport,249,Netherlands,"Energie Beheer Nederland (EBN), Gasunie, and the Port of Rotterdam",Transport,2018,2023,2026,,Under construction,1,10,10,Transport,Dedicated storage,Porthos,Europe
Poseidon CO2 storage,775,Norway,"Aker BP (60%), OMV AS (4%)",Storage,2023,2025,,,Planned,,5,5,Storage,Dedicated storage,Poseidon CO2 storage,Europe
Prairie State Generating Station Carbon Capture (IL),327,United States,"Prairie Research Institute (University of Illinois), Mitsubishi Heavy Industries, Kiewit Engineering Group, Sargent & Lundy",Capture,2019,,2025,,Planned,,5 - 7.5,6.05,Power and heat,Dedicated storage,CarbonSAFE Illinois Storage Corridor (IL),North America
Prax Lindsey Oil Refinery Phase 1,328,United Kingdom,Prax,Capture,2021,,2027,,Planned,1,0.55,0.55,Other fuel transformation,Dedicated storage,Viking CCS,Europe
Prax Lindsey Oil Refinery Phase 2,329,United Kingdom,Prax,Capture,2021,,2029,,Planned,2,0.55,0.55,Other fuel transformation,Dedicated storage,Viking CCS,Europe
Preem CCS at Lysekil refinery,330,Sweden,"Preem, Aker solutions, Equinor",Capture,2018,,2025,,Planned,,0.5,0.5,Other fuel transformation,Dedicated storage,Northern Lights,Europe
Prinos CCS phase 1,688,Greece,Energean,T&S,2021,,2025,,Planned,1,1,1,T&S,Dedicated storage,Prinos CO2 storage,Europe
Prinos CCS phase 2,689,Greece,Energean,T&S,2021,,2027,,Planned,2,2.5,2.5,T&S,Dedicated storage,Prinos CO2 storage,Europe
Prinos sigma plant,690,Greece,Energean,Capture,2022,,2025,,Planned,,1,1,Natural gas processing/LNG,Dedicated storage,Prinos CO2 storage,Europe
Project Air Perstorp Oxo capture,563,Sweden,"Perstorp Oxo AB (capture and methanol), FORTUM SVERIGE AB (hydrogen), Sydkraft AB, Uniper, Sunfire (electrolyser), Johnson Matthey (methanol synthesis, FEED)",CCU,2020,,2027,,Planned,,0.406,0.406,Chemicals,Use,,Europe
